nome,telefone,email,website,fonte,url_origem
Alex Osterno Prado - Advocacia Imobiliária e Sucessória,08836132602,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Alex Osterno Prado - Advocacia Imobiliária e Sucessória,088981951949,,http://www.bmiadv.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
R Feitosa Group,08836955628,,https://rfeitosa.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Oséas Rodrigues & Nogueira ADVOGADO CRIMINALISTA - ADVOGADO EM SOBRAL,088999395481,,https://rodriguesenogueira.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Escritório Marcelo Arruda | Corretor de Imóveis,088996071775,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
JK Advocacia,088992346262,,https://www.instagram.com/advogados.jk/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Caio Medeiros Advocacia e Assessoria Jurídica,08821444643,,https://caiomedeirosadvocacia.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Escritório de advocacia Parente e Parente Sociedade de Advogados,088981852021,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Vasconcelos Advogados Associados,088994644528,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Paiva & Osterno - Advocacia,088992260949,,https://www.paivaosterno.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Thiago Vasconcelos | Advogado em Sobral,088997818282,,https://tvpadvocacia.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Neto Linhares Advocacia,088996229265,,http://www.netolinhares.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Samarony Sousa,088996699126,,http://www.samaronysousaadvocacia.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Adilia Rodrigues Advocacia e Assessoria Jurídica,085999008712,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Fernando,088999784708,,https://fladvogadosassociados.jusfy.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Santos & Rabelo Advocacia,088993176116,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
ESCRITÓRIO DE ROBÉRIO JÚNIOR - CORRETOR DE IMÓVEIS- CRECI 17635 F,088999281241,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Sobral Corretora de seguros,088997112128,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
MACARIO LIMA PINHEIRO - ADVOCACIA,088921732000,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
"EXATA Serviços * Imobiliária ( ""O imóvel EXATO para você !"" ) * Adm. Condomínios * Contabilidade * Terceirização M.O.",08836132381,,http://www.exataservicos.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Torres Serviços,8836132602,,https://www.instagram.com/torresservicoss/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
RR Escritório Imobiliário,088996699966,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Hardy Corretora de Seguros,08831120280,,http://m.me/hardycorretora,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Daniel Gomes Corretor de Imóveis | Sobral,08836114808,,https://www.facebook.com/danielgomesimoveissobral/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Juan Fonteles | Corretor de Imóveis,088992346262,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Vasconcelos e Cunha Advogados Associados,088993077133,,https://linktr.ee/vucadvogados,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Imobiliária Weller Barreto - Corretor de Imóveis,088996106000,,https://www.wellerbarreto.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Lukas Kennedy,088994119399,,https://lukas-kennedy.herospark.co/p/advogadocriminalista,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
ZD Corretores de Imóveis,088992615410,,https://zezediasimoveis.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Kelia Silva Corretora de Imóveis em Sobral,088997134111,,http://instagram.com/kelia_silva_corretora/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
José Malaquias | Corretor de Imóveis em Sobral,088992663419,,https://josemalaquiasvenda.wixsite.com/jose-malaquias,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Escritório Imobiliário | Fátima Rodrigues,088997662138,,https://wa.me/message/EPPKN4BZWJGAJ1,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Rede Imóveis Sobral,8836132602,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Irmãos Costa Corretores,088999962510,,https://instagram.com/costajunior89?igshid=N2ZiY2E3YmU=,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Emanuel Moita Advocacia,088988690209,,https://emanuelmoitaadvocacia.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Atualpa Aguiar - Advogado em Tianguá,088993023467,,https://www.instagram.com/atualpaaguiar/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Janielle Elias Advocacia e Consultoria,088992794221,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
"Imobiliária Valcleyton Viana, os melhores imóveis em Sobral.",088999080161,,https://linktr.ee/imobiliaria.valcleyton.viana,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Arko Construtora,088996939150,,https://arkoconstrutora.com/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
DALVANIR ALVES ADVOCACIA E CONSULTORIA JURÍDICA,086998389903,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
"Advogado Fortaleza - Advogado Imobiliário, Usucapião e Consumidor Contra Planos de Saúde e Bancos - FalcãoPinheiroAdv.",08531042365,,https://falcaopinheiroadv.com/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Arildo Freitas Advocacia,088996099559,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Advocacia,8836132602,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Ruan Cardoso Advogados Associados,088993255667,,https://www.instagram.com/ruancardosoadv/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
LOPES DA COSTA ADVOGADOS,08530773893,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Escritório Rondinelle Araujo - Corretor de imóveis,088996032741,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
Dâmaris Saraiva | Advocacia Imobiliária e Negocial,086998046027,,https://www.damarissaraiva.com.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
ANTÔNIO JACINTO DE BARROS NETO - Escritório de Advocacia e Consultoria Imobiliária,085997167027,,http://alexosternoprado.adv.br/,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6844063,-40.3539199,14.39z?entry=ttu"
